id,youtube_video_id,track_id,release_id,label_id,status,added_at,source,priority,bumped_at
2,EF_O4ybSWPE,467,3117,541304,played,1771431401868,inbox,0,
31,bKb9m7iHA6U,462,2579,541304,played,1771436732643,inbox,0,
32,bKb9m7iHA6U,463,2579,541304,played,1771436813072,inbox,0,
33,bKb9m7iHA6U,464,2579,541304,played,1771437148576,inbox,0,
34,Mfq4k35jhC0,468,3117,541304,played,1771437568202,inbox,0,
35,Z9UEikU0RTM,475,3119,541304,played,1771437573521,inbox,0,
36,bKb9m7iHA6U,465,2579,541304,played,1771439063012,inbox,0,
37,Mfq4k35jhC0,469,3117,541304,played,1771439492575,inbox,0,
38,Z9UEikU0RTM,470,3119,541304,played,1771439801843,inbox,0,
39,Z9UEikU0RTM,471,3119,541304,played,1771440320204,inbox,0,
40,Z9UEikU0RTM,472,3119,541304,played,1771440377035,inbox,0,
41,Z9UEikU0RTM,473,3119,541304,played,1771440381739,inbox,0,
42,Z9UEikU0RTM,474,3119,541304,played,1771440385688,inbox,0,
43,Z9UEikU0RTM,476,3119,541304,played,1771440389467,inbox,0,
44,HMZkyKt681g,480,4670,541304,played,1771440393058,inbox,0,
45,HMZkyKt681g,479,4670,541304,played,1771440440518,inbox,0,
46,Z9UEikU0RTM,477,3119,541304,played,1771440581999,inbox,0,
47,HMZkyKt681g,478,4670,541304,played,1771440584609,inbox,0,
48,0_9fon8G6is,481,5299,541304,played,1771441007426,inbox,0,
49,0_9fon8G6is,481,5299,541304,played,1771441147036,inbox,0,
65,YoA-xk4vPhA,2142,22613111,952963,played,1771441853711,discogs_track_video,0,
66,Pu6JzfjfR_M,2143,22613111,952963,played,1771441853712,discogs_track_video,0,
67,tYSo3_979Xo,2144,22613111,952963,played,1771441853712,discogs_track_video,0,
72,MuEL10kCq4w,2133,14981047,1038740,played,1771441855579,discogs_track_video,0,
73,ZYSR6HZW0P0,2134,14981047,1038740,played,1771441855579,discogs_track_video,0,
74,fv2LNZPKKrY,2129,18611755,1015857,played,1771441855693,discogs_track_video,0,
75,E4v9rwZQ-d8,2130,18611755,1015857,played,1771441855694,discogs_track_video,0,
76,kfk_USbOinY,2131,18611755,1015857,played,1771441855694,discogs_track_video,0,
77,dV_zliUNT_8,2136,14981047,1038740,played,1771441855807,discogs_track_video,3,1771448559201
78,gmevOAQ1JpA,2137,14981047,1038740,played,1771441855809,discogs_track_video,14,1771449390431
130,wkGxNgyKW00,2242,10232021,952963,played,1771441871238,discogs_track_video,0,
131,zYEPw6KkCSI,2243,10232021,952963,played,1771441871238,discogs_track_video,0,
132,R5I7Ygyaj58,2244,10232021,952963,played,1771441871238,discogs_track_video,0,
133,5NeCJSGM580,2245,10232021,952963,played,1771441871239,discogs_track_video,0,
137,4ZxxGlg_54o,2248,18074002,1038740,played,1771441872329,discogs_track_video,4,1771448594458
138,RsF9dtVRgFA,2249,18074002,1038740,played,1771441872330,discogs_track_video,5,1771448601058
139,Vy9E31N-k50,2250,18074002,1038740,played,1771441872331,discogs_track_video,6,1771448602728
140,VVQov2KNtnY,2251,18074002,1038740,played,1771441872332,discogs_track_video,7,1771448608431
141,XkB9zUnCM3I,2246,8568045,1015857,played,1771441872393,discogs_track_video,0,
142,hMc5ZZJbosg,2247,8568045,1015857,played,1771441872394,discogs_track_video,0,
218,1jd7D973EYA,2387,12629679,952963,played,1771443516809,discogs_track_video,0,
219,CMRrs9Lh3P0,2388,12629679,952963,played,1771443516811,discogs_track_video,0,
226,uOlxk2S-Mns,2407,10679839,1015857,played,1771444085035,discogs_track_video,0,
227,PRvy4fupg6A,2408,10679839,1015857,played,1771444085035,discogs_track_video,9,1771448937264
231,uOlxk2S-Mns,2420,33843876,1015857,played,1771444119894,discogs_track_video,0,
232,PRvy4fupg6A,2421,33843876,1015857,played,1771444119895,discogs_track_video,0,
236,X8eXtimMqsg,,11706288,1015857,played,1771444123314,discogs_track_video,0,
259,2LvQcLhqdxY,2439,15795327,1015857,played,1771444131262,discogs_track_video,0,
278,qs4BVGUAaBA,2464,12807898,1015857,played,1771444141793,discogs_track_video,0,
351,E4v9rwZQ-d8,2130,18611755,1015857,played,1771445511685,inbox,0,
377,5NeCJSGM580,2245,10232021,952963,played,1771446939116,inbox,0,
386,GKH7WE9ltmo,2669,22381225,1038740,played,1771447950722,discogs_track_video,13,1771449066716
387,QZ4lCx4KwTQ,2670,22381225,1038740,played,1771447950725,discogs_track_video,13,1771449407110
388,7SCBNk5w0is,2671,22381225,1038740,played,1771447950725,discogs_track_video,14,1771449465520
389,tAlFbzO1-Us,2672,24597473,1038740,played,1771447956623,discogs_track_video,11,1771449695980
390,An6lCRH0f2I,2673,24597473,1038740,played,1771447956626,discogs_track_video,10,1771449699095
391,WB4_IsRvg-M,2674,24597473,1038740,played,1771447956629,discogs_track_video,10,1771449704615
412,hMc5ZZJbosg,2247,8568045,1015857,played,1771448479924,inbox,1,1771448479924
413,MuEL10kCq4w,2135,14981047,1038740,played,1771448533620,inbox,2,1771448533620
414,yzd6zcmIPZk,2698,10366568,1038740,played,1771449268807,inbox,14,1771449268807
415,7OVkq5GHId0,2712,15024463,1798608,played,1771449573055,discogs_track_video,7,1771450721704
416,hg--ccDxZwM,2713,15024463,1798608,played,1771449573056,discogs_track_video,8,1771450888417
417,73BY5UgJCpw,2714,15024463,1798608,played,1771449573056,discogs_track_video,2,1771451061642
418,ao2APrUuj7U,2727,30879483,1798608,played,1771449585543,discogs_track_video,1,1771451228717
419,71CV1wqvJqE,2728,30879483,1798608,played,1771449585544,discogs_track_video,1,1771451127088
420,j418mGMmbmA,2729,30879483,1798608,played,1771449585545,discogs_track_video,1,1771451249105
421,lIABK4q9UiI,2730,30879483,1798608,played,1771449585545,discogs_track_video,2,1771451254878
422,4bgACMGa5ww,2683,31127996,1038740,played,1771449588204,inbox,15,1771449588204
423,7SCBNk5w0is,2671,22381225,1038740,played,1771449626192,inbox,16,1771449626192
424,GKH7WE9ltmo,2669,22381225,1038740,played,1771450552388,inbox,4,1771450552388
425,QZ4lCx4KwTQ,2670,22381225,1038740,played,1771450620667,inbox,5,1771450620667
426,WB4_IsRvg-M,2674,24597473,1038740,played,1771450707343,inbox,6,1771450707343
427,8_P82DI_uJA,2731,33066594,1798608,played,1771450723841,discogs_track_video,1,1771451258596
428,otTZEkVbd0k,2732,33066594,1798608,played,1771450723845,discogs_track_video,0,
429,UMyF4cTsc18,2733,33066594,1798608,played,1771450723852,discogs_track_video,0,
430,R0WRfG5vs_g,2734,33066594,1798608,played,1771450723855,discogs_track_video,0,
432,GkFz1O2TR9w,2736,33840246,1798608,played,1771451144862,discogs_track_video,0,
433,9HKKMpzJNRw,2737,33840246,1798608,played,1771451144864,discogs_track_video,0,
436,BxI7LI2FT-c,2745,36276853,1798608,played,1771451153226,discogs_track_video,2,1771451592567
437,k2ZfRMSzMP8,2746,36276853,1798608,played,1771451153227,discogs_track_video,1,1771451520219
438,l8jny0kuj28,2747,15820544,1798608,played,1771451155474,discogs_track_video,0,
439,ESAAAbGJ1l0,2748,15820544,1798608,played,1771451155478,discogs_track_video,0,
440,UPiWZ1_9EgU,2750,15820544,1798608,played,1771451155483,discogs_track_video,2,1771451728879
441,l8jny0kuj28,2751,16353615,1798608,played,1771451157257,discogs_track_video,3,1771451853624
442,ESAAAbGJ1l0,2752,16353615,1798608,played,1771451157258,discogs_track_video,0,
443,UPiWZ1_9EgU,2754,16353615,1798608,played,1771451157258,discogs_track_video,0,
444,21OwDTU5vbA,2755,16484577,1798608,played,1771451161769,discogs_track_video,0,
445,6kyzs5ZTuY0,2756,16484577,1798608,played,1771451161771,discogs_track_video,1,1771452160289
446,fDOttvEAsyg,2757,16484577,1798608,played,1771451161772,discogs_track_video,0,
447,WJ98QRDcqGU,2758,16484577,1798608,played,1771451161775,discogs_track_video,1,1771452290275
448,Rs-A0_aH8Po,2759,21824347,1798608,played,1771451164045,discogs_track_video,1,1771452328921
477,ao2APrUuj7U,2727,30879483,1798608,played,1771451233439,inbox,1,1771451233439
478,ao2APrUuj7U,2727,30879483,1798608,played,1771451238675,inbox,2,1771451241227
479,71CV1wqvJqE,2728,30879483,1798608,played,1771451243003,inbox,1,1771451243003
480,CHxvTx9k1jw,2743,36276853,1798608,played,1771451580107,inbox,2,1771451580107
481,k2ZfRMSzMP8,2746,36276853,1798608,played,1771451621619,inbox,1,1771451621619
483,ESAAAbGJ1l0,2752,16353615,1798608,played,1771451936849,inbox,1,1771451936849
485,y1VFYSOnv-c,2760,21824347,1798608,played,1771452618904,inbox,1,1771452618904
486,eDYPUjoZlS8,2761,21824347,1798608,played,1771452628712,inbox,1,1771452628712
487,6Nk6DIadc88,2762,21824347,1798608,played,1771452681497,inbox,1,1771452681497
489,DArTrUgGZ0Y,2763,22746380,1798608,played,1771452750532,scope_sync,1,1771452810642
490,OG81tTvZ4uk,2764,22746380,1798608,played,1771452750532,scope_sync,1,1771452756115
514,y1VFYSOnv-c,2760,21824347,1798608,played,1771452750985,scope_sync,2,1771452760379
515,eDYPUjoZlS8,2761,21824347,1798608,played,1771452750985,scope_sync,1,1771452799559
517,OG81tTvZ4uk,2764,22746380,1798608,played,1771452760475,scope_sync,0,
518,y1VFYSOnv-c,2760,21824347,1798608,played,1771452800127,scope_sync,0,
519,y1VFYSOnv-c,2760,21824347,1798608,played,1771452801905,scope_sync,2,1771452803255
532,ODH8_7dQhf4,2765,22746380,1798608,played,1771452867322,scope_sync,0,
533,Z7y2K3hGQpE,2766,22746380,1798608,played,1771452867322,scope_sync,0,
534,ZCV5p_iAzcA,2768,22746380,1798608,played,1771452867322,scope_sync,0,
535,J4zrCpQNa9E,2769,22746380,1798608,played,1771452867322,scope_sync,0,
536,Rr6PGLpBtQM,2770,22746380,1798608,played,1771452867322,scope_sync,0,
537,ROH6zngs-vc,2771,25116100,1798608,played,1771452867322,scope_sync,0,
538,jEOhsPYJCzw,2772,25116100,1798608,played,1771452867322,scope_sync,0,
539,N5wajz8Rz-k,2773,25116100,1798608,played,1771452867322,scope_sync,0,
540,cvG8_6pgzw0,2774,25116100,1798608,played,1771452867322,scope_sync,0,
541,viDJ0BX8eCI,2775,26341760,1798608,pending,1771452867322,scope_sync,0,
542,PTj1lzdNtDk,2776,26341760,1798608,pending,1771452867322,scope_sync,0,
543,H9yy73T8XZo,2777,26341760,1798608,pending,1771452867322,scope_sync,0,
544,Y0SgxL2Fe9I,2778,26341760,1798608,pending,1771452867322,scope_sync,0,
545,-ykg9dOiKy8,2779,27169398,1798608,pending,1771452867322,scope_sync,0,
546,7NgB3ke9pjc,2780,27169398,1798608,pending,1771452867322,scope_sync,0,
547,FoVjLo5UPrY,2781,27169398,1798608,pending,1771452867322,scope_sync,0,
548,BuI_FdcPh6o,2782,27169398,1798608,pending,1771452867322,scope_sync,0,
549,86w7R-mwcXo,2783,27169398,1798608,pending,1771452867322,scope_sync,0,
550,XelNr4-xjU4,2784,27169398,1798608,pending,1771452867322,scope_sync,0,
551,FARZ7uyHXIw,2785,27169398,1798608,pending,1771452867322,scope_sync,0,
552,J43rwHy9snQ,2786,27169398,1798608,pending,1771452867322,scope_sync,0,
553,nv68I8DqRgs,2787,29846647,1798608,pending,1771452867322,scope_sync,0,
554,VgqSIp0eKIs,2789,29846647,1798608,pending,1771452867322,scope_sync,0,
555,73BY5UgJCpw,2714,15024463,1798608,played,1771453047683,inbox,1,1771453047683
557,7OVkq5GHId0,2715,15024463,1798608,played,1771453206542,inbox,1,1771453206542
558,73BY5UgJCpw,2714,15024463,1798608,played,1771453304774,inbox,2,1771453304774
560,7OVkq5GHId0,2715,15024463,1798608,played,1771453477950,inbox,1,1771453477950
561,gVhaFrfm8RE,2572,31883824,1798608,played,1771453479870,inbox,2,1771453479870
563,gVhaFrfm8RE,2572,31883824,1798608,played,1771453684672,inbox,1,1771453684672
